Position	26.11_10.07_184.1C_496_9.26_1.00_1.3*10-6
-5.06	0.11
-5.058	0.11
-5.056	0.11
-5.055	0.11
-5.054	0.11
-5.052	0.11
-5.05	0.1
-5.049	0.11
-5.048	0.11
-5.046	0.11
-5.044	0.11
-5.043	0.11
-5.042	0.11
-5.04	0.12
-5.038	0.11
-5.037	0.11
-5.036	0.11
-5.034	0.11
-5.032	0.11
-5.031	0.11
-5.03	0.11
-5.028	0.11
-5.027	0.11
-5.025	0.11
-5.023	0.11
-5.022	0.11
-5.021	0.11
-5.019	0.11
-5.017	0.11
-5.016	0.11
-5.015	0.11
-5.013	0.11
-5.011	0.11
-5.01	0.11
-5.009	0.11
-5.007	0.11
-5.005	0.11
-5.004	0.11
-5.003	0.11
-5.001	0.11
-4.999	0.11
-4.998	0.11
-4.997	0.11
-4.995	0.11
-4.994	0.11
-4.992	0.11
-4.99	0.11
-4.989	0.11
-4.988	0.11
-4.986	0.11
-4.984	0.11
-4.983	0.12
-4.982	0.11
-4.98	0.11
-4.978	0.11
-4.977	0.11
-4.976	0.11
-4.974	0.11
-4.972	0.11
-4.971	0.11
-4.97	0.11
-4.968	0.11
-4.966	0.11
-4.965	0.11
-4.964	0.11
-4.962	0.11
-4.96	0.11
-4.959	0.11
-4.957	0.11
-4.956	0.11
-4.955	0.11
-4.953	0.11
-4.951	0.11
-4.95	0.11
-4.949	0.11
-4.947	0.11
-4.945	0.11
-4.944	0.11
-4.943	0.11
-4.941	0.11
-4.939	0.11
-4.938	0.11
-4.937	0.11
-4.935	0.11
-4.933	0.11
-4.932	0.11
-4.931	0.11
-4.929	0.11
-4.927	0.11
-4.926	0.11
-4.924	0.11
-4.923	0.11
-4.922	0.12
-4.92	0.11
-4.918	0.11
-4.917	0.11
-4.916	0.11
-4.914	0.11
-4.912	0.11
-4.911	0.12
-4.91	0.11
-4.908	0.12
-4.906	0.11
-4.905	0.11
-4.904	0.11
-4.902	0.11
-4.9	0.11
-4.899	0.11
-4.898	0.11
-4.896	0.11
-4.894	0.11
-4.893	0.11
-4.891	0.11
-4.89	0.11
-4.889	0.11
-4.887	0.11
-4.885	0.11
-4.884	0.11
-4.883	0.11
-4.881	0.11
-4.879	0.11
-4.878	0.11
-4.877	0.11
-4.875	0.12
-4.873	0.11
-4.872	0.11
-4.871	0.11
-4.869	0.11
-4.867	0.11
-4.866	0.11
-4.865	0.11
-4.863	0.11
-4.861	0.11
-4.86	0.11
-4.859	0.11
-4.857	0.11
-4.856	0.11
-4.854	0.11
-4.852	0.11
-4.851	0.11
-4.85	0.11
-4.848	0.11
-4.846	0.11
-4.845	0.11
-4.844	0.11
-4.842	0.11
-4.84	0.11
-4.839	0.12
-4.838	0.11
-4.836	0.11
-4.834	0.11
-4.833	0.11
-4.832	0.11
-4.83	0.12
-4.828	0.11
-4.827	0.11
-4.826	0.11
-4.824	0.11
-4.823	0.11
-4.821	0.11
-4.819	0.11
-4.818	0.11
-4.817	0.12
-4.815	0.11
-4.813	0.12
-4.812	0.12
-4.811	0.12
-4.809	0.12
-4.807	0.12
-4.806	0.12
-4.805	0.12
-4.803	0.13
-4.801	0.13
-4.8	0.13
-4.799	0.12
-4.797	0.13
-4.795	0.13
-4.794	0.13
-4.793	0.13
-4.791	0.13
-4.79	0.13
-4.788	0.12
-4.786	0.13
-4.785	0.12
-4.784	0.12
-4.782	0.13
-4.78	0.13
-4.779	0.12
-4.778	0.12
-4.776	0.12
-4.774	0.13
-4.773	0.12
-4.772	0.12
-4.77	0.12
-4.768	0.12
-4.767	0.13
-4.766	0.12
-4.764	0.12
-4.762	0.12
-4.761	0.12
-4.76	0.12
-4.758	0.12
-4.756	0.12
-4.755	0.12
-4.753	0.12
-4.752	0.11
-4.751	0.12
-4.749	0.12
-4.747	0.12
-4.746	0.12
-4.745	0.12
-4.743	0.12
-4.741	0.12
-4.74	0.12
-4.739	0.12
-4.737	0.12
-4.735	0.12
-4.734	0.12
-4.733	0.12
-4.731	0.12
-4.729	0.12
-4.728	0.12
-4.727	0.12
-4.725	0.12
-4.723	0.12
-4.722	0.12
-4.72	0.12
-4.719	0.12
-4.718	0.12
-4.716	0.12
-4.714	0.12
-4.713	0.12
-4.712	0.12
-4.71	0.12
-4.708	0.12
-4.707	0.12
-4.706	0.12
-4.704	0.12
-4.702	0.12
-4.701	0.12
-4.7	0.12
-4.698	0.12
-4.696	0.12
